Movie Rank,Movie Name,Release Year,IMdB Rating,Cast
218,Le salaire de la peur,1953,8,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
,,,,
219,Rush,2013,8,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
,,,,
220,Ah-ga-ssi,2016,8,"Chan-wook Park (dir.), Min-hee Kim, Jung-woo Ha"
,,,,
221,La passion de Jeanne d'Arc,1928,8,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
,,,,
222,Les quatre cents coups,1959,8,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
,,,,
223,Andrei Rublev,1966,8,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov"
,,,,
224,Hotel Rwanda,2004,8,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
,,,,
225,Spotlight,2015,8,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
,,,,
226,Du rififi chez les hommes,1955,8,"Jules Dassin (dir.), Jean Servais, Carl Möhner"
,,,,
227,Amores perros,2000,8,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
,,,,
228,La haine,1995,8,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
,,,,
229,Kaze no tani no Naushika,1984,8,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura"
,,,,
230,Gangs of Wasseypur,2012,8,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha"
,,,,
231,Rocky,1976,8,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
,,,,
232,Rang De Basanti,2006,8,"Rakeysh Omprakash Mehra (dir.), Aamir Khan, Soha Ali Khan"
,,,,
233,"Monsters, Inc.",2001,8,"Pete Docter (dir.), Billy Crystal, John Goodman"
,,,,
234,Rebecca,1940,8,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
,,,,
235,Before Sunset,2004,8,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
,,,,
236,Portrait de la jeune fille en feu,2019,8,"Céline Sciamma (dir.), Noémie Merlant, Adèle Haenel"
,,,,
237,Fa yeung nin wah,2000,8,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung"
,,,,
238,"Paris, Texas",1984,8,"Wim Wenders (dir.), Harry Dean Stanton, Nastassja Kinski"
,,,,
239,Drishyam,2015,8,"Nishikant Kamat (dir.), Ajay Devgn, Shriya Saran"
,,,,
240,It Happened One Night,1934,8,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
,,,,
